sim_time, AUV_mk4?world_pose/position/z
51.026, -0.0020191
51.027, -0.00201922
51.028, -0.00201933
51.029, -0.00201944
51.03, -0.00201956
51.031, -0.00201967
51.032, -0.00201978
51.033, -0.0020199
51.034, -0.00202001
51.035, -0.00202012
51.036, -0.00202024
51.037, -0.00202035
51.038, -0.00202046
51.039, -0.00202057
51.04, -0.00202069
51.041, -0.0020208
51.042, -0.00202091
51.043, -0.00202102
51.044, -0.00202113
51.045, -0.00202125
51.046, -0.00202136
51.047, -0.00202147
51.048, -0.00202158
51.049, -0.00202169
51.05, -0.00202181
51.051, -0.00202192
51.052, -0.00202203
51.053, -0.00202214
51.054, -0.00202225
51.055, -0.00202236
51.056, -0.00202247
51.057, -0.00202258
51.058, -0.00202269
51.059, -0.0020228
51.06, -0.00202292
51.061, -0.00202303
51.062, -0.00202314
51.063, -0.00202325
51.064, -0.00202336
51.065, -0.00202347
51.066, -0.00202358
51.067, -0.00202369
51.068, -0.0020238
51.069, -0.00202391
51.07, -0.00202402
51.071, -0.00202413
51.072, -0.00202423
51.073, -0.00202434
51.074, -0.00202445
51.075, -0.00202456
51.076, -0.00202467
51.077, -0.00202478
51.078, -0.00202489
51.079, -0.002025
51.08, -0.00202511
51.081, -0.00202522
51.082, -0.00202532
51.083, -0.00202543
51.084, -0.00202554
51.085, -0.00202565
51.086, -0.00202576
51.087, -0.00202586
51.088, -0.00202597
51.089, -0.00202608
51.09, -0.00202619
51.091, -0.0020263
51.092, -0.0020264
51.093, -0.00202651
51.094, -0.00202662
51.095, -0.00202673
51.096, -0.00202683
51.097, -0.00202694
51.098, -0.00202705
51.099, -0.00202715
51.1, -0.00202726
51.101, -0.00202737
51.102, -0.00202747
51.103, -0.00202758
51.104, -0.00202769
51.105, -0.00202779
51.106, -0.0020279
51.107, -0.00202801
51.108, -0.00202811
51.109, -0.00202822
51.11, -0.00202833
51.111, -0.00202843
51.112, -0.00202854
51.113, -0.00202864
51.114, -0.00202875
51.115, -0.00202886
51.116, -0.00202896
51.117, -0.00202907
51.118, -0.00202918
51.119, -0.00202928
51.12, -0.00202939
51.121, -0.00202949
51.122, -0.0020296
51.123, -0.00202971
51.124, -0.00202981
51.125, -0.00202992
51.126, -0.00203002
51.127, -0.00203013
51.128, -0.00203024
51.129, -0.00203034
51.13, -0.00203045
51.131, -0.00203055
51.132, -0.00203066
51.133, -0.00203077
51.134, -0.00203087
51.135, -0.00203098
51.136, -0.00203108
51.137, -0.00203119
51.138, -0.00203129
51.139, -0.0020314
51.14, -0.00203151
51.141, -0.00203161
51.142, -0.00203172
51.143, -0.00203182
51.144, -0.00203193
51.145, -0.00203203
51.146, -0.00203214
51.147, -0.00203225
51.148, -0.00203235
51.149, -0.00203246
51.15, -0.00203256
51.151, -0.00203267
51.152, -0.00203277
51.153, -0.00203288
51.154, -0.00203298
51.155, -0.00203309
51.156, -0.0020332
51.157, -0.0020333
51.158, -0.00203341
51.159, -0.00203351
51.16, -0.00203362
51.161, -0.00203372
51.162, -0.00203383
51.163, -0.00203393
51.164, -0.00203404
51.165, -0.00203414
51.166, -0.00203425
51.167, -0.00203436
51.168, -0.00203446
51.169, -0.00203457
51.17, -0.00203467
51.171, -0.00203478
51.172, -0.00203488
51.173, -0.00203499
51.174, -0.00203509
51.175, -0.0020352
51.176, -0.0020353
51.177, -0.00203541
51.178, -0.00203551
51.179, -0.00203562
51.18, -0.00203572
51.181, -0.00203583
51.182, -0.00203593
51.183, -0.00203604
51.184, -0.00203614
51.185, -0.00203625
51.186, -0.00203635
51.187, -0.00203646
51.188, -0.00203656
51.189, -0.00203667
51.19, -0.00203677
51.191, -0.00203688
51.192, -0.00203698
51.193, -0.00203709
51.194, -0.00203719
51.195, -0.0020373
51.196, -0.0020374
51.197, -0.00203751
51.198, -0.00203761
51.199, -0.00203772
51.2, -0.00203782
51.201, -0.00203793
51.202, -0.00203803
